ticker,company,target_from,target_to,action,rating_from,rating_to,time,rating_from_score,rating_to_score,rating_delta,rating_magnitude,target_delta,target_growth,year,month,day,weekday,weekday_num,quarter
DRTS,Alpha Tau Medical,9.0,9.0,reiterated by,Buy,Buy,2025-09-04 00:30:07,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,4,Thursday,3,3
GYRE,Gyre Therapeutics,18.0,18.0,initiated by,Buy,Buy,2025-08-27 00:30:05,2.0,2.0,0.0,0.0,0.0,0.0,2025,8,27,Wednesday,2,3
CBAN,Colony Bankcorp,19.5,21.0,target raised by,Outperform,Outperform,2025-07-30 00:30:12,2.0,2.0,0.0,0.0,1.5,0.07692307692307693,2025,7,30,Wednesday,2,3
MTRN,Materion,115.0,117.0,reiterated by,Overweight,Overweight,2025-08-14 00:30:06,2.0,2.0,0.0,0.0,2.0,0.017391304347826087,2025,8,14,Thursday,3,3
OHI,Omega Healthcare Investors,50.0,50.0,initiated by,Overweight,Overweight,2025-10-02 00:30:09,2.0,2.0,0.0,0.0,0.0,0.0,2025,10,2,Thursday,3,4
SMPL,Simply Good Foods,27.0,23.0,target lowered by,Neutral,Neutral,2025-10-25 00:30:05,0.0,0.0,0.0,0.0,-4.0,-0.14814814814814814,2025,10,25,Saturday,5,4
CRH,CRH,125.0,140.0,target raised by,Buy,Buy,2025-10-03 00:30:06,2.0,2.0,0.0,0.0,15.0,0.12,2025,10,3,Friday,4,4
NVDA,NVIDIA,240.0,240.0,reiterated by,Overweight,Overweight,2025-10-06 00:30:13,2.0,2.0,0.0,0.0,0.0,0.0,2025,10,6,Monday,0,4
SMRT,SmartRent,1.3,1.45,target raised by,Market Perform,Market Perform,2025-08-13 00:30:07,0.0,0.0,0.0,0.0,0.1499999999999999,0.11538461538461531,2025,8,13,Wednesday,2,3
TYGO,Tigo Energy,3.0,6.0,target raised by,Buy,Buy,2025-07-31 00:30:08,2.0,2.0,0.0,0.0,3.0,1.0,2025,7,31,Thursday,3,3
ENVA,Enova International,129.0,144.0,target raised by,Buy,Buy,2025-10-25 00:30:05,2.0,2.0,0.0,0.0,15.0,0.11627906976744186,2025,10,25,Saturday,5,4
CTXR,Citius Pharmaceuticals,6.0,6.0,reiterated by,Buy,Buy,2025-08-14 00:30:06,2.0,2.0,0.0,0.0,0.0,0.0,2025,8,14,Thursday,3,3
ELV,Elevance Health,330.0,380.0,target raised by,Buy,Buy,2025-10-24 00:30:05,2.0,2.0,0.0,0.0,50.0,0.15151515151515152,2025,10,24,Friday,4,4
LCUT,Lifetime Brands,6.0,5.0,target lowered by,Buy,Buy,2025-08-09 00:30:10,2.0,2.0,0.0,0.0,-1.0,-0.16666666666666666,2025,8,9,Saturday,5,3
GPCR,Structure Therapeutics,75.0,60.0,target lowered by,Buy,Buy,2025-08-08 00:30:09,2.0,2.0,0.0,0.0,-15.0,-0.2,2025,8,8,Friday,4,3
BZAI,Blaize,9.0,9.0,initiated by,Buy,Buy,2025-09-10 00:30:05,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,10,Wednesday,2,3
MGNX,MacroGenics,3.0,3.0,initiated by,Overweight,Overweight,2025-09-18 00:30:06,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,18,Thursday,3,3
CNXC,Concentrix,75.0,62.0,target lowered by,Outperform,Outperform,2025-09-30 00:30:08,2.0,2.0,0.0,0.0,-13.0,-0.17333333333333334,2025,9,30,Tuesday,1,3
AURA,Aura Biosciences,22.0,22.0,reiterated by,Buy,Buy,2025-08-14 00:30:06,2.0,2.0,0.0,0.0,0.0,0.0,2025,8,14,Thursday,3,3
FLR,Fluor,60.0,56.0,target lowered by,Buy,Buy,2025-08-07 00:30:07,2.0,2.0,0.0,0.0,-4.0,-0.06666666666666667,2025,8,7,Thursday,3,3
WEAV,Weave Communications,16.0,13.0,target lowered by,Buy,Buy,2025-08-03 00:30:08,2.0,2.0,0.0,0.0,-3.0,-0.1875,2025,8,3,Sunday,6,3
IT,Gartner,263.0,263.0,initiated by,Sector Perform,Sector Perform,2025-09-10 00:30:05,,,,,0.0,0.0,2025,9,10,Wednesday,2,3
MDU,MDU Resources Group,20.0,20.0,upgraded by,Hold,Buy,2025-09-22 00:30:13,0.0,2.0,2.0,2.0,0.0,0.0,2025,9,22,Monday,0,3
FBRX,Forte Biosciences,75.0,75.0,initiated by,Buy,Buy,2025-08-19 00:30:05,2.0,2.0,0.0,0.0,0.0,0.0,2025,8,19,Tuesday,1,3
IMAB,I-Mab,9.0,9.0,initiated by,Outperform,Outperform,2025-10-06 00:30:13,2.0,2.0,0.0,0.0,0.0,0.0,2025,10,6,Monday,0,4
UPBD,Upbound Group,40.0,40.0,reiterated by,Buy,Buy,2025-09-17 00:30:05,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,17,Wednesday,2,3
TME,Tencent Music Entertainment Group,27.5,27.5,target set by,Outperform,Outperform,2025-08-14 00:30:06,2.0,2.0,0.0,0.0,0.0,0.0,2025,8,14,Thursday,3,3
MNDY,monday.com,326.0,332.0,target raised by,Buy,Buy,2025-10-01 00:30:06,2.0,2.0,0.0,0.0,6.0,0.018404907975460124,2025,10,1,Wednesday,2,4
TWLO,Twilio,130.0,130.0,initiated by,Overweight,Overweight,2025-10-01 00:30:06,2.0,2.0,0.0,0.0,0.0,0.0,2025,10,1,Wednesday,2,4
VMI,Valmont Industries,480.0,480.0,initiated by,Overweight,Overweight,2025-09-28 00:30:11,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,28,Sunday,6,3
AFRM,Affirm,95.0,90.0,target lowered by,Buy,Buy,2025-10-25 00:30:05,2.0,2.0,0.0,0.0,-5.0,-0.05263157894736842,2025,10,25,Saturday,5,4
WMG,Warner Music Group,33.0,36.0,target raised by,Neutral,Neutral,2025-10-02 00:30:09,0.0,0.0,0.0,0.0,3.0,0.09090909090909091,2025,10,2,Thursday,3,4
CRBG,Corebridge Financial,47.0,46.0,target lowered by,Overweight,Overweight,2025-09-08 00:30:05,2.0,2.0,0.0,0.0,-1.0,-0.02127659574468085,2025,9,8,Monday,0,3
FTK,Flotek Industries,16.0,16.0,upgraded by,Market Perform,Outperform,2025-08-07 00:30:07,0.0,2.0,2.0,2.0,0.0,0.0,2025,8,7,Thursday,3,3
PAYC,Paycom Software,270.0,270.0,initiated by,Buy,Buy,2025-09-28 00:30:11,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,28,Sunday,6,3
