ticker,date,last_open,last_high,last_low,last_close,last_volume,rvi,hlc3,ema,hma,tema,fwma,hwma,kama,swma,mi,atr,price_distance,mfi,obv,pvt
CECO,2025-08-22 00:30:05,46.75,48.310001373291016,46.2400016784668,47.97999954223633,276900,51.80092878541416,47.51000086466471,43.462500046628925,46.21153143234582,48.05311691292999,46.608663296174484,50.10458895458715,45.30588620391515,45.5576670328776,1.1100343986573626,1.9421776278817895,7.782681703691945,44.46363562469064,3716700.0,34186458.914290845
BLND,2025-08-25 00:30:04,3.6600000858306885,3.7300000190734863,3.549999952316284,3.5799999237060547,2432200,46.72213068737055,3.619999965031942,3.2813994778013007,3.1430865769778493,3.2634708386449622,3.446181805425953,3.114310060342968,3.324795182795357,3.0806666453679403,1.1452962007378855,0.22729574010395506,9.748618925470327,47.773880876457014,13644400.0,-74607931.95591716
FLOC,2025-08-07 00:30:07,15.951083365616867,16.398866831149796,15.523199995604678,15.682412147521973,410900,24.631931222072883,15.868159658092148,17.912189296007412,17.237250295779404,17.049267450633938,16.530531673280617,17.446587001586092,17.46727460184884,18.046382999420167,1.1015544603703948,0.9860271907097902,-14.100396671464498,31.875945718588607,-3657300.0,-20760670.784735214
VYGR,2025-09-16 00:30:09,4.21999979019165,4.449999809265137,4.179999828338623,4.25,993900,73.14305199318873,4.293333212534587,3.886118021607032,4.397353261735016,4.314008827893163,4.216624502446408,4.373226089402089,4.067606556071465,4.159333364168803,1.0835409952125543,0.2713396718983007,12.627534076821242,75.60683140830042,11285300.0,61518688.71388786
BCBP,2025-07-31 00:30:08,8.222813244025138,8.26206291127977,8.12468860799562,8.203187942504883,59500,53.90716455801568,8.196646487260091,8.470455867722192,8.361112205703536,8.397438983243234,8.314732938267833,8.559646019720569,8.736056593255002,8.500504811604818,1.0381675944862314,0.24385351545698095,-5.134757989172293,32.900903874890176,625200.0,488151.7956160289
DEFT,2025-09-28 00:30:11,2.2300000190734863,2.240000009536743,2.0899999141693115,2.125,14024500,37.492720801259445,2.1516666412353516,2.372733549970593,2.5384562946914073,2.418282400159141,2.286188045401549,2.6319212693228864,2.497029901613036,2.516166671117147,1.0215271738988652,0.20739705624994445,-8.227164173361428,51.86919026072332,-50544900.0,-514616917.2385776
LAMR,2025-08-12 00:30:05,114.23935295036371,116.09610530409276,113.81467103275884,115.84919738769531,547100,46.862386731341,115.25332457484897,120.36642617431443,118.27873189587613,117.4263264700292,116.70352157816788,117.04565148942238,119.18578391421636,120.77056528727213,1.0374862124781694,2.7786147559993823,-4.752238292473267,29.165385612110605,793500.0,-11328921.005442759
TRIN,2025-08-13 00:30:07,15.446784939475739,15.645193740085372,15.374196849159244,15.601640701293945,1013600,78.78798229291841,15.540343763512853,14.744167067698283,15.239828479981524,15.376464636820321,15.345449359480234,15.473442445654513,15.120215697667007,14.92350368499756,1.096814419150982,0.24682846455366558,6.115469324461167,76.84374207371884,1675400.0,14780568.70641579
AMP,2025-10-06 00:30:13,491.8800048828125,496.1300048828125,488.7900085449219,493.80999755859375,350600,59.41030980751706,492.9100036621094,494.7054717334743,492.8847214973746,490.8890654973476,492.3885402789296,489.90973093017044,498.78764992808493,493.3770039876302,0.9400236997903243,9.193215478898743,0.26822854720020656,45.751516075148864,148600.0,-7291331.725958847
RY,2025-08-31 00:30:05,145.55999755859375,145.9499969482422,144.9199981689453,145.36000061035156,858700,55.41189805121576,145.40999857584634,137.55283931111575,141.92802339496035,143.39797942512757,143.49396740457286,143.40165779447378,141.28354725621656,138.5806660970052,1.228769467666524,1.8579912151804665,6.54040585763077,76.76292674333415,18554400.0,31064653.794790328
MODG,2025-08-12 00:30:05,8.289999961853027,8.779999732971191,8.210000038146973,8.729999542236328,3041100,45.91288825560306,8.573333104451498,8.924475399859016,8.562085744890814,8.698428993318272,8.676886931709621,8.435808844397059,8.932165288958446,8.818333339691161,1.315080985945654,0.6053551963204424,-4.8708778026504,39.84894593207323,16221800.0,137608129.48839784
ETR,2025-10-06 00:30:12,95.5999984741211,98.58000183105469,95.5999984741211,97.4800033569336,4137300,81.47824536624275,97.22000122070312,91.81244770180093,94.93393484734868,95.20613852000689,95.31694498821412,95.2839641764528,93.4343056256845,93.00966771443686,1.158042424199196,1.757303606101065,7.146196690231419,67.44886135698746,40771600.0,63113864.95660713
HONE,2025-07-28 00:30:06,12.12454942170519,12.174199690482055,12.005389344840777,12.16426944732666,149000,66.44717895771386,12.114619494216498,11.948790894844024,12.119866569403445,12.224394110699498,12.10972116676042,12.451210931764475,11.998509479266813,12.094097423553468,0.9683454131676037,0.26886833540550864,1.1951122814423347,48.04121324511636,-1541500.0,2481853.96155964
ABBV,2025-10-06 00:30:13,230.05154428824963,231.28265930294376,226.2886626976344,228.54241943359375,11940300,38.16181009254132,228.70458047805732,222.63404410190125,232.9965224869633,232.95516617544158,230.89736025017035,232.16750821530468,226.79896264734447,227.00880584716796,1.26711400423081,5.136926979105669,3.1354194731754417,58.301099994393205,50391700.0,160787465.51253748
PFG,2025-08-19 00:30:05,77.07285930109965,78.41962961107043,76.86490312083316,77.83536529541016,948400,60.380790581684174,77.70663267577125,77.15088569343366,76.74136281793767,76.47312567570053,77.25941378928925,74.88796932759068,77.30340545828611,76.61007029215494,0.935274146169905,1.4745072412048685,0.906357256969809,58.562102623463204,4288000.0,-4720498.770426973
