ticker,date,last_open,last_high,last_low,last_close,last_volume,atr,std_dev,ulcer_index,price_distance,obv,ad_line,pvt,force_index,hlc3,typical_price,vwap,volume_close_min,volume_close_max
CECO,2025-08-22 00:30:05,46.75,48.310001373291016,46.2400016784668,47.97999954223633,276900,1.9421776278817895,2.7838947627008817,2.95198679048911,7.782681703691945,3716700.0,6374448.457326807,34186458.914290845,173065.58956539916,47.51000086466471,47.51000086466471,47.51000086466471,11420027.885055542,43577881.7779541
BLND,2025-08-25 00:30:04,3.6600000858306885,3.7300000190734863,3.549999952316284,3.5799999237060547,2432200,0.22729574010395506,0.34562834405629694,18.09609465766088,9.748618925470327,13644400.0,-3952179.9877429805,-74607931.95591716,268371.81820457784,3.619999965031942,3.619999965031942,3.619999965031942,3990117.0109033585,35498190.24801254
FLOC,2025-08-07 00:30:07,15.951083365616867,16.398866831149796,15.523199995604678,15.682412147521973,410900,0.9860271868243765,1.2519044812345286,19.80280557488498,-14.100396671464498,-3657300.0,-3514188.551573234,-20760675.181972142,-162794.4270362817,15.868159658092148,15.868159658092148,15.868159658092146,1978031.8180084229,10855400.586891174
VYGR,2025-09-16 00:30:09,4.21999979019165,4.449999809265137,4.179999828338623,4.25,993900,0.2713396718983007,0.3927001803705072,6.2965497871352545,12.627534076821242,11285300.0,-1964371.0748669307,61518688.71388786,50817.466451100016,4.293333212534587,4.293333212534587,4.293333212534587,683087.9786729813,5823639.685630798
BCBP,2025-07-31 00:30:08,8.222813244025138,8.26206291127977,8.12468860799562,8.203187942504883,59500,0.2438535153718149,0.27298790434687437,6.338061565484324,-5.134757989172293,625200.0,378424.132087006,488152.1178819973,-3712.8009242900407,8.196646487260091,8.196646487260091,8.196646487260091,301290.5330657959,1011975.1148223877
DEFT,2025-09-28 00:30:11,2.2300000190734863,2.240000009536743,2.0899999141693115,2.125,14024500,0.20739705624994445,0.24627166690741645,31.00581997144692,-8.227164173361428,-50544900.0,-70573425.12957178,-514616917.2385776,-1792168.6903667066,2.1516666412353516,2.1516666412353516,2.1516666412353516,4597507.87229538,72815331.91223145
LAMR,2025-08-12 00:30:05,114.23935295036371,116.09610530409276,113.81467103275884,115.84919738769531,547100,2.7786147559993823,3.329544103645991,4.2298051148782765,-4.752238292473267,793500.0,-262051.53813040658,-11328921.005442759,-2098528.3992018593,115.25332457484897,115.25332457484897,115.25332457484897,31314024.243164062,262546865.22216797
TRIN,2025-08-13 00:30:07,15.446784939475739,15.645193740085372,15.374196849159244,15.601640701293945,1013600,0.24682846845420478,0.3824725810230184,0.7019100278221875,6.115469324461167,1675400.0,3086824.841816677,14780574.50611187,105417.02081966732,15.540343763512853,15.540343763512853,15.540343763512853,6056119.240951538,18157572.989082336
AMP,2025-10-06 00:30:13,491.8800048828125,496.1300048828125,488.7900085449219,493.80999755859375,350600,9.193215478898743,4.309343792266374,9.325680012128146,0.26822854720020656,148600.0,1231163.456920498,-7291331.725958847,-155744.1925927556,492.9100036621094,492.9100036621094,492.9100036621094,150167863.94348145,734769503.5095215
RY,2025-08-31 00:30:05,145.55999755859375,145.9499969482422,144.9199981689453,145.36000061035156,858700,1.8579912151804665,4.5040581758448806,0.3510222024185018,6.54040585763077,18554400.0,14832138.191650515,31064653.794790328,2849514.780213465,145.40999857584634,145.40999857584634,145.40999857584634,50201087.29248047,462420666.5130615
MODG,2025-08-12 00:30:05,8.289999961853027,8.779999732971191,8.210000038146973,8.729999542236328,3041100,0.6053551963204424,0.5497377697011944,10.740270998040696,-4.8708778026504,16221800.0,8918203.52716095,137608129.48839784,-20599.672707526883,8.573333104451498,8.573333104451498,8.573333104451498,15060045.649147034,61410574.69549179
ETR,2025-10-06 00:30:12,95.5999984741211,98.58000183105469,95.5999984741211,97.4800033569336,4137300,1.757303606101065,2.774580805774171,1.5696614580661745,7.146196690231419,40771600.0,18900374.10143655,63113864.95660713,2825731.3830415127,97.22000122070312,97.22000122070312,97.22000122070312,168512271.13723755,424427813.23547363
HONE,2025-07-28 00:30:06,12.12454942170519,12.174199690482055,12.005389344840777,12.16426944732666,149000,0.2688683315233316,0.1687916999430602,1.3088465641170053,1.195112682866156,-1541500.0,1307719.4642413761,2481849.588469321,5389.071534802132,12.114619494216498,12.114619494216498,12.114619494216498,1812476.1476516724,4542138.211631775
ABBV,2025-10-06 00:30:13,230.05154428824963,231.28265930294376,226.2886626976344,228.54241943359375,11940300,5.136926978716205,8.263615488031075,2.2013930210773784,3.1354194731754417,50391700.0,34852494.8922102,160787470.14173323,6500814.753274785,228.70458047805732,228.70458047805732,228.70458047805732,647027270.388794,3183973704.9697876
